subject,action,video,start_frame,x_global_mean,x_mean_variation,x_avg_movement,x_max_movement,y_global_mean,y_mean_variation,y_avg_movement,y_max_movement,z_global_mean,z_mean_variation,z_avg_movement,z_max_movement,v_global_mean,v_mean_variation,v_avg_movement,v_max_movement,avg_velocity,max_velocity,velocity_std,mean_angle,angle_std,max_angle,mean_aspect,aspect_std,mean_ground_contact,min_ground_contact,movement_jerk,label
Subject 1,ADL,01.mp4,0,0.4379314406652643,0.0519334397664242,0.0242076760628447,0.0591249362805639,0.4607299333720496,0.2521446017741258,0.0158109014613767,0.0280818574857014,-0.1802883252418144,0.167045256013922,0.041228114339464,0.0713975618124697,0.9693572762036564,0.0475046945977858,0.0156036504572828,0.0922307705381487,0.004451122731725,0.0111693863591548,0.0021127155347957,6.885258528157761,4.5901256358343305,16.64535231363315,4.76989366780409,0.495368931204261,0.8540985405445098,0.8489723801612854,0.001969994401996,0
Subject 1,ADL,01.mp4,15,0.3982242939147082,0.0686801217279776,0.0328388890610237,0.0863417680446455,0.4813612556066176,0.2265846326521678,0.0301852549551241,0.0612394222393653,-0.1487836225623867,0.1837548144381049,0.0366269417368646,0.0634960119238242,0.9354087898225496,0.1074446540219233,0.0250127336577757,0.1273553001178395,0.0069844228256653,0.0120051437106526,0.0026096779076567,19.97855606086865,10.959130097131348,38.958752809130615,3.5483048964512705,1.0743429992767228,0.8566864550113678,0.8304038047790527,0.0023131661042528,0
Subject 1,ADL,01.mp4,30,0.3706650003339305,0.0954933469449226,0.0210521379516179,0.0594098549440124,0.4820032906803219,0.1575944507584859,0.0523554568436373,0.1901416047674325,-0.1324505465011323,0.1737833927181235,0.0505230334517164,0.1228963466488911,0.9000678550414366,0.168185796746497,0.0170912115771495,0.1039879342633317,0.0089727501201099,0.0135574349530004,0.0022420398833896,38.87475688222744,12.276424021727331,63.669420758469485,2.019021175451768,0.7071671054285592,0.7741343955198924,0.5192379951477051,0.0023325140501127,0
Subject 1,ADL,01.mp4,45,0.3670189597088881,0.1163290399791963,0.0190557574724762,0.0649807331504389,0.4674114862475732,0.0855880454521617,0.0348256408399676,0.1657497552673924,-0.1209884396905898,0.1248700244484737,0.0725349697796992,0.1642750065198713,0.8948219068724699,0.1664076238929971,0.0222966052245833,0.0822561582976113,0.0082514445300311,0.0135574349530004,0.0030409910407966,59.41966848802383,12.674381739942422,74.87831350914674,1.014190459294602,0.5377036629709562,0.5974264810482661,0.4866147339344024,0.0026809549239121,0
Subject 1,ADL,01.mp4,60,0.3738815820879406,0.1366577204828934,0.0167634301678061,0.0582077047298767,0.4724066173187409,0.0549490316060497,0.0148484980547734,0.0336740842101858,-0.1223658334690675,0.0833246324328333,0.0618525361065058,0.1099912885217532,0.8864191638399855,0.1457465108182075,0.0264957048913253,0.1037789493218271,0.0055568152384843,0.0132874629730303,0.0025581130306518,75.40808444465567,5.525519917565336,82.2441304916606,0.4961988984363221,0.1168080203555046,0.5208080718914668,0.4866147339344024,0.0020196751162509,0
Subject 1,ADL,01.mp4,75,0.385789972980215,0.1518537272404514,0.0115137859023623,0.0520827114356034,0.4876899258355902,0.044908377242387,0.0123732305965425,0.0575895630989436,-0.1176714311896362,0.0911571309418758,0.0554733269746625,0.1387752864011804,0.8483934866659569,0.1677336377262141,0.0321345774135134,0.1303140714172145,0.0043635633672023,0.0132331731785698,0.0024427311169611,81.41074083860602,1.767220043652243,83.36472703943029,0.3962910672639222,0.0403300835066271,0.541372537612915,0.5329728722572327,0.002933299206133,0
Subject 1,ADL,01.mp4,90,0.388132406726028,0.158752669502596,0.0159763022309788,0.0680532161184123,0.4962637786612366,0.0414974465683585,0.0067091010674333,0.0381164360425698,-0.1037453821053578,0.1337772303358874,0.0416267860502293,0.0942830204818067,0.8151723559456643,0.1982963931080286,0.0346190117169912,0.1618941353867372,0.0073786004357857,0.0404408959793956,0.0094119167970121,82.22714418461871,0.7651974072415992,83.36472703943029,0.3925646832395291,0.0383986969655392,0.5447728196779887,0.5340725779533386,0.0099401732469738,0
Subject 1,ADL,01.mp4,105,0.3879317393206586,0.1609071283377923,0.0134354878327345,0.065184345443458,0.4964943186803296,0.0406693829376502,0.0040896329408968,0.0226456043126384,-0.1054778780824342,0.1608058512388653,0.0295169136058436,0.0766372635321457,0.7988946400507532,0.231931933964957,0.0198672135292712,0.0620019910068976,0.0066746267282353,0.0404408959793956,0.009526231714501,81.65101861704706,0.5933840711386593,83.02033590503173,0.3967172532162635,0.0213524281381575,0.5457091450691223,0.5341150760650635,0.009697754856225,0
Subject 1,ADL,01.mp4,120,0.3889762300283018,0.1608099217028777,0.0071763932175685,0.0392411502989432,0.4949287096358309,0.0405938918158464,0.0025170283769746,0.0148329727244512,-0.1087568889873283,0.1762193182804932,0.0201294765850723,0.0457507551773894,0.7877791214169878,0.2561570488178589,0.011685927610255,0.0433496315675891,0.0042336727332699,0.0254658943047747,0.0053725421779779,81.01812997761436,0.370293321428354,81.77471483393919,0.3986977885738892,0.0161594451529966,0.5469952781995138,0.5379502177238464,0.0056567922233937,0
Subject 1,ADL,01.mp4,135,0.3859911565678288,0.1610143613312105,0.0089081703673434,0.0546609580515509,0.4942986109341034,0.0416505880220233,0.00276276324981,0.0135866533201646,-0.1091780204806274,0.1758346881189522,0.0219238048757019,0.0741699000197159,0.7789268549644586,0.26955852342739,0.0081440013285841,0.0294444994670231,0.0072093219834279,0.0254658943047747,0.0068417685630293,80.68651180667592,0.2052585853457443,81.03365503694278,0.4171338579393434,0.0183285516055399,0.5508746286233266,0.5382168889045715,0.0069490560229624,0
Subject 1,ADL,01.mp4,150,0.3861619738617329,0.1602629464371141,0.0083669859069001,0.0471713983953458,0.4939170541486355,0.0420137789941121,0.0024668618961708,0.0130194932357085,-0.1126726689114355,0.170924847571509,0.0219066677021754,0.0660165386853024,0.7778928233818574,0.2709252724924821,0.0054766767028503,0.0199060175903362,0.0061076650427748,0.0156355570389322,0.0046401725511219,80.25962128470296,0.443221156586678,81.03365503694278,0.4173164215400236,0.0143858972615318,0.5504665871461233,0.5390132069587708,0.004987970402818,0
Subject 1,ADL,01.mp4,165,0.3847840981200487,0.1567565147921392,0.0081739992742918,0.0405266572124678,0.4940440415733993,0.0411266560937692,0.0027982747764142,0.0152714387190836,-0.1194848677252226,0.17063700495842,0.0239777226328014,0.0649629144674952,0.7775944455404474,0.2682095619399954,0.007859038657832,0.029847844270315,0.0057116053821708,0.019559245241835,0.0043641886871752,80.33647258605872,0.4941600206023836,81.02928529021564,0.3934934253370953,0.0149982462848529,0.5456593016783396,0.5390132069587708,0.0043979313866278,0
Subject 1,ADL,01.mp4,180,0.3845241917052653,0.1572389043975734,0.0091981883709292,0.04849683006281,0.49481766928326,0.0414527585951853,0.0027832433009254,0.0114719408608515,-0.1206822257010957,0.1648928201654927,0.0261890050665037,0.0754141001198102,0.7743881473637589,0.2697144458443157,0.0069939038128306,0.02526917249069,0.0059907903710446,0.0253146676231191,0.0056629347022242,80.72718155959606,0.174388131922877,81.02928529021564,0.3988078753170638,0.0194328163051866,0.547031682729721,0.5398270487785339,0.007245705312652,0
Subject 1,ADL,01.mp4,195,0.3864925807925186,0.1589439671685582,0.0080186001165485,0.0451962715361665,0.4957776729205642,0.0420590101710893,0.0026619457348218,0.0128147719515385,-0.1180606457433602,0.1618453967367143,0.0247441628784198,0.0763865932426505,0.7776422925067671,0.2660633715706179,0.0075561171048012,0.030310147213492,0.0046280312898661,0.0253146676231191,0.0053546441304895,80.68399175839714,0.1331295728837208,80.8809348686464,0.4035170125032853,0.0154015059689901,0.5496247331301372,0.5464389324188232,0.0071572149029288,0
Subject 1,ADL,01.mp4,210,0.3881339152654012,0.1594820879079122,0.0065528463467423,0.0301243208328862,0.4960618654284814,0.0412317163677327,0.0026122970102584,0.0154371212366799,-0.1165017630020626,0.1607017570400062,0.0200892883073125,0.057316764085562,0.783804205631969,0.2590444556736813,0.0045879270576175,0.019259878360347,0.0035547971719177,0.0146892132179222,0.0036197130066708,80.71004187284316,0.1180401202334287,80.8874589333886,0.396716611087659,0.0089614155878403,0.5488404075304667,0.5464602112770081,0.00336465421555,0
Subject 1,ADL,02.mp4,0,0.494784559896498,0.05183545982679,0.1088166497641208,0.1373052728180036,0.500022281525713,0.1851230109545356,0.1212597846789367,0.1752956403713544,-0.2332800794063568,0.091454292765226,0.1369376227956657,0.2099482925767228,0.825486162365085,0.1414408530793516,0.1727017492128748,0.2079455747991491,0.0714090673660269,0.7774200423219841,0.1862236464629035,38.176908021222346,22.48022595473549,81.24626974808675,3.549975568877041,1.2407237698237794,0.8339945356051127,0.0,0.1922458574284846,0
Subject 1,ADL,02.mp4,15,0.5555437404398965,0.1052928029570653,0.0272834992735331,0.0529257857891283,0.4943868574168947,0.1592253369158942,0.0564905565501175,0.1937824383561947,-0.2507811279059035,0.1334727491722489,0.0968990637059765,0.1773150333707926,0.9198726596254292,0.0944839278805483,0.0339364200247292,0.1149287650617358,0.0099410374081214,0.024022721906974,0.0032799565469957,36.265816614608,14.71608308472011,64.51375066237371,1.9464387175407805,0.7990517746405347,0.8153952062129974,0.6271597743034363,0.0036192040509172,0
Subject 1,ADL,02.mp4,30,0.5864489663730968,0.1288916066888676,0.0314998725950321,0.1108350788973172,0.4925727511897231,0.0770977758314474,0.0426006888347408,0.1941769927648384,-0.2036679123750517,0.110966096657724,0.1246201710680893,0.2661281652354703,0.9327962154089804,0.0952130856290868,0.028272453465275,0.1375331723455506,0.0093814048249751,0.024022721906974,0.00445934971302,61.668116473158,14.598355026160888,78.69434708726085,0.9274689437037634,0.3976390421319538,0.6404162287712097,0.4827152788639068,0.0046539436002215,0
Subject 1,ADL,02.mp4,45,0.6003140196354704,0.1272916747363223,0.0235518443728208,0.1013374764291299,0.4857245168601622,0.0482090109453538,0.0149077891130054,0.043956268804303,-0.1287831763581063,0.1237979942073482,0.080453537101093,0.2395204393402318,0.9095561755727036,0.1363173557415927,0.0229419750726354,0.0843097392657452,0.009489080348755,0.0216125640344859,0.0053916505153624,80.61320653186685,6.6999541666022,90.29114566079328,0.5699334218127741,0.0482028369894595,0.5011140177647273,0.4827152788639068,0.0059552684786941,0
Subject 1,ADL,02.mp4,60,0.5824015842543707,0.1239171113542357,0.0186900212507526,0.0782758104646516,0.4969723435965452,0.040235927126266,0.0188250718922065,0.0628833190079429,-0.1546058361071871,0.1951358879402213,0.054856218701846,0.0993807475082998,0.900205206901136,0.1445433768085055,0.0172602569136459,0.0638904565845369,0.0072111357718519,0.0216125640344859,0.0058461559619015,86.5842766111902,2.38575896920118,90.29114566079328,0.5042151545902192,0.074911688650319,0.5113643954197565,0.4911750257015228,0.0046438833346802,0
Subject 1,ADL,02.mp4,75,0.576372045850513,0.1347770650441179,0.0063073110102638,0.0126054322812363,0.5132614371451465,0.0375721117889435,0.0074440733668306,0.0298858306611251,-0.150200083664631,0.1976535704150728,0.0413505077143488,0.0783792360860684,0.8935152666436301,0.1560819805536977,0.017868496860529,0.106102439070959,0.0022408041091978,0.0097075276900909,0.0021243264982235,85.59294408512652,1.3283180113021866,88.98144293446664,0.429892037000162,0.0133102890008862,0.5288205742835999,0.514330267906189,0.000809270203951,0
Subject 1,ADL,02.mp4,90,0.5771210084358852,0.1392484947057962,0.0019816939827487,0.0049262351658175,0.5159492731997462,0.0365839726869245,0.0017414345207404,0.0042947202039418,-0.137664288392107,0.1819669122923116,0.0212129816692654,0.046179731258091,0.8754987828659289,0.1833419119460696,0.0132752582898838,0.0601444254602954,0.000856458826469,0.0016634597461193,0.000341827954055,84.55715592991442,0.4618081267605406,85.74076769904606,0.4202367312993296,0.0024078161118365,0.5308726211388906,0.5280097723007202,0.0002366545640266,0
Subject 1,ADL,02.mp4,105,0.5764108431459678,0.1394576557006266,0.0011893401229314,0.0030988239700024,0.516682148973147,0.0369562231594868,0.0013984386205489,0.0042700820198777,-0.134878420782266,0.1794330841757929,0.0167078223750467,0.0291681730559847,0.8610962570917726,0.2009030798272444,0.0067229891314764,0.0259921424960792,0.0006947183482056,0.0012798478399164,0.0002471087383157,85.08089323182979,0.6377179542677242,86.09710850977284,0.4226138389238058,0.0054800010678283,0.5311371266841889,0.5302936434745789,0.0002931807041627,0
Subject 1,ADL,02.mp4,120,0.5771314646559532,0.1387210267867223,0.0020290182399722,0.0107705899866169,0.5169927239719063,0.0376053635966792,0.0012462087270126,0.0030740818417941,-0.1317386000620899,0.1709045270211686,0.0168406055130499,0.0316079930805352,0.847421184182167,0.2189607284649483,0.0113993421675836,0.0571619471758089,0.001084038273429,0.0046908704316865,0.0008696780166865,85.7915268694629,0.2901119101738228,86.32399557568934,0.4286429962545249,0.0075556628874813,0.5291758954524994,0.5211742520332336,0.000996462239074,0
Subject 1,ADL,02.mp4,135,0.5772673580983672,0.1389952302202541,0.0021143367513549,0.01036286492498,0.5169844832083192,0.0375594078110515,0.0011774725925303,0.0042613898897958,-0.1276196526792994,0.1706062161876369,0.016861786800118,0.032362415575308,0.8348960349054046,0.2368715913306533,0.0052339836490498,0.0241367474135295,0.0011344116858138,0.0046908704316865,0.0008459709263343,85.6345897475858,0.3877317708568653,86.32399557568934,0.4242639000577525,0.0090828739435299,0.5278109073638916,0.5211742520332336,0.0008963930384159,0
Subject 1,ADL,02.mp4,150,0.576598290933503,0.1394196260215441,0.001621266795378,0.0048636451872093,0.5168688285230387,0.0374056093454757,0.0009971192509223,0.0058405217363133,-0.1251672559655318,0.1738214599287442,0.016898676682635,0.0338305625274421,0.8327666987072337,0.239044819353892,0.0042254915254185,0.0135174738116941,0.0009697709472566,0.0020462347900792,0.0004198010572106,85.11316031584307,0.3190998880647548,85.76484537406607,0.4174037021601903,0.0028858500078188,0.5302201588948567,0.5242323875427246,0.0005188022853728,0
Subject 1,ADL,02.mp4,165,0.5763037085834176,0.1395638569105298,0.0016105732326838,0.0052276518284721,0.5168235944076018,0.0372352969623758,0.0011992106603514,0.0058984562175008,-0.1315828515901089,0.1739968879643659,0.0195882613525269,0.0345595506887006,0.8386484518496677,0.2310855092926207,0.0079106729144733,0.036606895858771,0.0010331718981738,0.0020462347900792,0.0004640220213232,85.29180390742758,0.4566229072598983,86.1433819832229,0.4146986875920798,0.0037592701681368,0.5332705676555634,0.526618242263794,0.0005499255780312,0
Subject 1,ADL,03.mp4,0,0.4666164071270913,0.0782026519154539,0.0538503870995001,0.0842717604413773,0.5092600207738203,0.1961424778871802,0.0744247533708374,0.1721248168577841,-0.2886870316320012,0.2051185119562427,0.1541756280104583,0.213685677187435,0.911446785685992,0.0892153839325053,0.0384705932791308,0.1426493613779535,0.0277520924670546,0.0816058813846778,0.0216093862177609,37.47012987619524,12.137068249961365,65.17237263769792,2.8970998083849104,1.3644049584373512,0.8621750593185424,0.8042882084846497,0.010501090803379,0
Subject 1,ADL,03.mp4,15,0.5186797643249685,0.1361516876473048,0.0472304970186902,0.1133749485176645,0.4644467176361517,0.1291527092784995,0.0612018504554828,0.2040769627215943,-0.154962093030447,0.1128840991089377,0.1180978682193018,0.1987425076149684,0.927112829926038,0.0829797985386021,0.0305332683593854,0.1378063077610752,0.0123982191969834,0.0311273302284304,0.0059241299253643,55.599200028638094,17.99107706680678,82.42596883079831,1.0972767479083363,0.6419005415346114,0.7227000037829081,0.476290762424469,0.0056739253009907,0
Subject 1,ADL,03.mp4,30,0.5532615927885278,0.1567145009584156,0.0326067321148789,0.1354280895962421,0.4599077143452384,0.0600308617228521,0.0380991663609368,0.0935932606183093,-0.0657500377046285,0.1426354025520508,0.0602063418286322,0.1044709246541833,0.8934447868002786,0.1443050499541122,0.035697819162299,0.1618733990971268,0.0142864324893205,0.0403770245208224,0.0100382056396729,78.1930075563416,9.201595381156638,92.02631184587074,0.4443527129784173,0.1849766662147856,0.5406680991252263,0.4723818004131317,0.0130063961240894,0
Subject 1,ADL,03.mp4,45,0.5623001291595324,0.1625193328566516,0.0265943552853535,0.1293092890026297,0.4681415787850967,0.0351711041342384,0.0217191076156657,0.0917017191882906,-0.0631791982414363,0.1570841127038323,0.052381295036005,0.1041601171673899,0.8593818216612845,0.2095440812478748,0.019910590979088,0.1122458319430816,0.0143027292101701,0.0537688746376177,0.0126931861804857,89.23495801089365,5.177275204792815,94.5350241265888,0.3211401319224613,0.0658139495735405,0.50941035648187,0.4723818004131317,0.017515792194359,0
Subject 1,ADL,03.mp4,60,0.5713043590085675,0.1773972892886433,0.0232668581622838,0.1096079840143968,0.4802278663774933,0.0308379036181319,0.0195276335032444,0.0865271904179766,-0.0491962304488153,0.1702689105033894,0.0554904527745612,0.0969760956140365,0.8306426040414306,0.2670702604366535,0.0264909799896946,0.1200123982999506,0.0093766818704244,0.0537688746376177,0.0109874096553171,92.407172151965,1.6500619915720482,94.5350241265888,0.2528038486018666,0.0717675877416958,0.5195773661136627,0.5135769844055176,0.013088771907867,0
